iter	Passed	Remaining
0	11	11009
1	15	7931
2	20	6762
3	24	6024
4	28	5629
5	32	5323
6	36	5164
7	40	5014
8	44	4937
9	48	4827
10	52	4733
11	57	4702
12	61	4660
13	65	4620
14	69	4559
15	73	4511
16	77	4483
17	81	4448
18	85	4405
19	89	4383
20	94	4383
21	98	4369
22	102	4349
23	106	4325
24	110	4315
25	114	4290
26	118	4277
27	122	4264
28	126	4242
29	130	4224
30	134	4213
31	139	4216
32	143	4198
33	147	4182
34	151	4187
35	155	4173
36	159	4163
37	163	4146
38	168	4148
39	172	4134
40	176	4129
41	182	4155
42	187	4175
43	191	4166
44	198	4215
45	211	4388
46	222	4517
47	227	4518
48	234	4543
49	238	4532
50	242	4518
51	247	4505
52	251	4489
53	255	4479
54	259	4461
55	263	4443
56	268	4434
57	272	4422
58	276	4415
59	280	4400
60	285	4400
61	290	4390
62	294	4376
63	299	4377
64	303	4366
65	308	4359
66	312	4357
67	316	4344
68	322	4352
69	326	4344
70	331	4342
71	337	4347
72	342	4345
73	346	4339
74	351	4339
75	356	4339
76	361	4331
77	366	4326
78	371	4327
79	379	4361
80	384	4365
81	408	4574
82	414	4582
83	423	4622
84	429	4620
85	435	4628
86	440	4620
87	444	4602
88	448	4591
89	452	4576
90	457	4573
91	462	4562
92	466	4554
93	472	4551
94	476	4540
95	481	4533
96	486	4529
97	490	4516
98	495	4508
99	500	4500
100	503	4484
101	508	4478
102	516	4498
103	521	4489
104	525	4479
105	532	4488
106	537	4482
107	541	4475
108	548	4483
109	553	4481
110	562	4508
111	568	4507
112	573	4498
113	579	4502
114	586	4513
115	590	4497
116	594	4483
117	599	4483
118	605	4483
119	609	4470
120	613	4456
121	617	4443
122	621	4432
123	625	4421
124	630	4412
125	634	4399
126	638	4387
127	642	4379
128	647	4370
129	651	4358
130	655	4348
131	659	4338
132	663	4327
133	667	4316
134	671	4304
135	675	4292
136	680	4287
137	684	4277
138	688	4265
139	692	4253
140	696	4243
141	700	4233
142	704	4222
143	708	4212
144	712	4203
145	716	4192
146	720	4182
147	724	4173
148	729	4164
149	733	4154
150	737	4144
151	741	4136
152	745	4126
153	750	4121
154	757	4127
155	764	4134
156	770	4135
157	775	4133
158	779	4123
159	784	4119
160	793	4133
161	797	4125
162	802	4118
163	806	4111
164	810	4102
165	814	4094
166	819	4088
167	823	4078
168	827	4068
169	831	4060
170	835	4050
171	839	4042
172	843	4034
173	847	4025
174	852	4016
175	855	4007
176	859	3998
177	864	3990
178	868	3981
179	872	3973
180	876	3964
181	880	3955
182	883	3946
183	887	3936
184	891	3928
185	895	3919
186	899	3912
187	903	3903
188	907	3895
189	911	3886
190	915	3878
191	919	3871
192	924	3863
193	928	3857
194	932	3849
195	936	3840
196	940	3834
197	944	3824
198	949	3821
199	955	3822
200	962	3825
201	969	3828
202	974	3825
203	978	3819
204	983	3813
205	987	3807
206	991	3798
207	995	3790
208	999	3783
209	1003	3775
210	1007	3767
211	1011	3759
212	1015	3752
213	1019	3744
214	1023	3736
215	1027	3728
216	1031	3720
217	1035	3713
218	1039	3706
219	1043	3698
220	1047	3690
221	1051	3684
222	1055	3676
223	1059	3669
224	1063	3661
225	1067	3655
226	1071	3649
227	1075	3641
228	1079	3634
229	1083	3627
230	1088	3624
231	1092	3616
232	1096	3610
233	1103	3613
234	1109	3612
235	1119	3622
236	1127	3629
237	1137	3640
238	1161	3699
239	1241	3930
240	1251	3942
241	1264	3961
242	1268	3951
243	1272	3943
244	1276	3934
245	1281	3926
246	1284	3917
247	1288	3907
248	1294	3903
249	1298	3894
250	1302	3885
251	1306	3877
252	1310	3869
253	1314	3860
254	1318	3851
255	1325	3851
256	1332	3851
257	1337	3846
258	1341	3839
259	1346	3832
260	1350	3824
261	1354	3816
262	1358	3807
263	1362	3798
264	1367	3791
265	1371	3783
266	1375	3775
267	1379	3768
268	1383	3760
269	1387	3752
270	1391	3744
271	1395	3735
272	1400	3728
273	1403	3719
274	1408	3712
275	1412	3704
276	1416	3696
277	1419	3687
278	1424	3681
279	1428	3672
280	1432	3664
281	1436	3658
282	1440	3650
283	1444	3642
284	1448	3634
285	1452	3625
286	1456	3617
287	1460	3610
288	1464	3603
289	1468	3595
290	1472	3587
291	1476	3580
292	1480	3573
293	1484	3565
294	1488	3557
295	1492	3550
296	1496	3542
297	1500	3535
298	1504	3528
299	1508	3520
300	1514	3516
301	1521	3515
302	1527	3514
303	1532	3507
304	1541	3513
305	1545	3505
306	1550	3499
307	1554	3492
308	1558	3484
309	1563	3479
310	1566	3471
311	1570	3464
312	1575	3457
313	1579	3449
314	1584	3444
315	1588	3439
316	1592	3431
317	1596	3425
318	1601	3418
319	1605	3410
320	1609	3403
321	1613	3396
322	1617	3390
323	1621	3384
324	1626	3377
325	1629	3369
326	1634	3363
327	1638	3357
328	1642	3350
329	1646	3343
330	1650	3336
331	1654	3329
332	1658	3322
333	1663	3317
334	1667	3309
335	1671	3303
336	1675	3296
337	1679	3290
338	1684	3283
339	1688	3276
340	1692	3270
341	1696	3263
342	1700	3256
343	1706	3254
344	1713	3253
345	1720	3251
346	1726	3248
347	1730	3241
348	1734	3235
349	1738	3229
350	1742	3222
351	1746	3216
